longDBName,shortDBName,an,title,abstract,publicationDate,contributors,docTypes,pubTypes,coverDate,peerReviewed,source,subjects,isiType,doids,isbns,issns,publisherLocations,identifiers,isOpenAccess,bookEdition,language,publisher,pageEnd,pageStart,pageCount,volume,issue,doi,notes,mid,degreeLevel,plink
GreenFILE,8gh,173725787,"Effects of polyvinylchloride microplastics on the toxicity of nanoparticles and antibiotics to aerobic granular sludge: Nitrogen removal, microbial community and resistance genes.","Copper oxide nanoparticles (CuO NPs) and ciprofloxacin (CIP) have ecological risk to humans and ecosystems. Polyvinylchloride microplastics (PVC MPs), as a representative of microplastics, may often coexist with CuO NPs and CIP in wastewater treatment systems due to their widespread application. However, the co-impact of PVC MPs in wastewater systems contained with CuO NPs and CIP on nitrogen removal and ecological risk is not clear. In this work, PVC MPs co-impacts on the toxicity of CuO NPs and CIP to aerobic granular sludge (AGS) systems and potential mechanisms were investigated. 10 mg/L PVC MPs co-addition did not significantly affect the nitrogen removal, but it definitely changed the microbial community structure and enhanced the propagation and horizontal transfer of antibiotics resistance genes (ARGs). 100 mg/L PVC MPs co-addition resulted in a raise of CuO NP toxicity to the AGS system, but reduced the co-toxicity of CuO NPs and CIP and ARGs expression. The co-impacts with different PVC MPs concentration influenced Cu<sup>2+</sup> concentrations, cell membrane integrity, extracellular polymeric substances (EPS) contents and microbial communities in AGS systems, and lead to a change of nitrogen removal. [Display omitted] • 10 mg/L PVC MPs had no significant effect on the nitrogen removal. • 100 mg/L PVC MPs decreased nitrogen removal efficiency under CuO NPs stress. • 100 mg/L PVC MPs mitigated the co-toxicity of CuO NPs and CIP to AGS. • ARGs expression was enhanced by 10 mg/L PVC MPs, but decreased by 100 mg/L PVC MPs.",20231201,"Li, Yu-Qi ; Zhao, Bai-Hang ; Zhang, Yu-Qing ; Zhang, Xin-Yue ; Chen, Xiao-Tang ; Yang, Hai-Shan",Article,Academic Journal,Dec2023:Part 1,true,Environmental Research,Polyvinyl chloride ; Microbial communities ; Plastic marine debris ; Wastewater treatment ; Nitrogen ; Microplastics ; Copper oxide ; Drug resistance in bacteria,JOUR,,,0013-9351,,,,,eng,Academic Press Inc.,N.PAG,N.PAG,,238,,10.1016/j.envres.2023.117151,,KZQ,,https://research.ebsco.com/linkprocessor/plink?id=129a1b84-7315-3e38-b024-2fffe0ac391e
GreenFILE,8gh,175848560,Selective enrichment of bacteria and antibiotic resistance genes in microplastic biofilms and their potential hazards in coral reef ecosystems.,"Microplastics become hotspots for bacteria to trigger a series of ecological effects, but few studies have focused on the potential impacts of microplastic biofilms in coral reef ecosystems. Here, we measured the bacterial communities and antibiotic resistance genes (ARGs) in the seawater and microplastic biofilms. Results showed that microbial biofilms were formed on the surface of microplastics. The alpha diversity of the bacterial community in the microplastic biofilms was lower than that in the seawater, and the bacterial communities were distinct between the two. Further analysis revealed that several bacteria in the microplastic biofilms carried ARGs, and the proportion of which was correlated to the concentration of antibiotics in the seawater. Specifically, Vibrio was positively correlated to sul1 in the microplastic biofilms under higher concentrations of sulfonamides. Pathway analysis reflected significant overrepresentation of human disease related pathways in the bacterial community of microplastic biofilms. These results suggest that the microplastic biofilms could selectively enrich bacteria from the reef environments, causing the development of ARGs under antibiotic driving. This may pose a serious threat to coral reef ecosystems and human health. Our study provides new insights into the ecological impacts of microplastic biofilms in coral reef ecosystems. [Display omitted] • Microplastics could selectively enrich bacteria from seawater in coral reef regions. • Bacteria on microplastics carried ARGs under antibiotic driving. • Microplastics pose a potential threat to coral and human health via pathogens and ARGs.",20240315,"Zhou, Zhi ; Tang, Jia ; Tang, Kai ; An, Mingxun ; Liu, Zhaoqun ; Wu, Zhongjie ; Cao, Xiaocong ; He, Chunlong",Article,Academic Journal,Mar2024,true,Chemosphere,Coral reefs & islands ; Corals ; Ecological impact ; Ecosystems ; Biofilms ; Drug resistance in bacteria,JOUR,,,0045-6535,,,,,eng,Elsevier B.V.,N.PAG,N.PAG,,352,,10.1016/j.chemosphere.2024.141309,,JQF,,https://research.ebsco.com/linkprocessor/plink?id=0b024bb7-9610-38a2-8a6d-9b1caf1387a6
GreenFILE,8gh,178233566,Effects of triclosan adsorption on intestinal toxicity and resistance gene expression in Xenopus tropicalis with different particle sizes of polystyrene.,"Microplastics (MPs) are commonly found with hydrophobic contaminants in the water column and pose a serious threat to aquatic organisms. The effects of polystyrene microplastics of different particle sizes on the accumulation of triclosan in the gut of Xenopus tropicalis , its toxic effects, and the transmission of resistance genes were evaluated. The results showed that co-exposure to polystyrene (PS-MPs) adsorbed with triclosan (TCS) caused the accumulation of triclosan in the intestine with the following accumulation capacity: TCS + 5 µm PS group > TCS group > TCS + 20 µm PS group > TCS + 0.1 µm PS group. All experimental groups showed increased intestinal inflammation and antioxidant enzyme activity after 28 days of exposure to PS-MPs and TCS of different particle sizes. The TCS + 20 µm PS group exhibited the highest upregulated expression of pro-inflammatory factors (IL- 10, IL -1β). The TCS + 20 µm group showed the highest increase in enzyme activity compared to the control group. PS-MPs and TCS, either alone or together, altered the composition of the intestinal microbial community. In addition, the presence of more antibiotic resistance genes than triclosan resistance genes significantly increased the expression of tetracycline resistance and sulfonamide resistance genes, which may be associated with the development of intestinal inflammation and oxidative stress. This study refines the aquatic ecotoxicity assessment of TCS adsorbed by MPs and provides informative information for the management and control of microplastics and non-antibiotic bacterial inhibitors. [Display omitted]",20241201,"Dai, Zhuo ; Wang, Zikai ; Pan, Xinying ; Zheng, Li ; Xu, Yanbin ; Qiao, Qingxia",Article,Academic Journal,Dec2024,true,Journal of Environmental Sciences (Elsevier),Poisons ; Polystyrene ; Triclosan ; Gene expression ; Xenopus ; Intestines,JOUR,,,1001-0742,,,,,eng,Elsevier B.V.,185,176,10,146,,10.1016/j.jes.2023.06.036,,639I,,https://research.ebsco.com/linkprocessor/plink?id=cc606572-e187-3d71-9e59-b9e9f99b53ce
GreenFILE,8gh,172368297,Antimicrobial Resistance in Exploited Estuaries: Some Overlooked Environmental Contaminants and Microbial Niches Might Act as Drivers.,"The second resistance strategy consists of the acquisition of genetic material through horizontal gene transfer (HGT); if the antibiotic resistance gene (ARG) is transferred, it confers a new function (resistance) on the target bacteria. Antibiotic resistance is one of the most serious threats to human health and food safety, carrying a dramatic cost to society both financially and in terms of human suffering.",20231001,"Evariste, Lauris",Article,Academic Journal,Oct2023,true,Environmental Toxicology & Chemistry,Pollutants ; Natural resources ; Plastic marine debris ; Estuaries ; Drug resistance in microorganisms ; Horizontal gene transfer,JOUR,,,0730-7268,,,,,eng,Wiley-Blackwell,2062,2061,2,42,10,10.1002/etc.5704,,5JI,,https://research.ebsco.com/linkprocessor/plink?id=3ed18ff9-4729-3722-8268-4a168dda62d2
GreenFILE,8gh,173235135,Alteration of microbial mediated carbon cycle and antibiotic resistance genes during plastisphere formation in coastal area.,"Microorganisms can attach on the surface of microplastics (MPs) through biological fouling process to form a diverse community called the ""plastisphere"", which has attracted extensive attention. Although the microbial structure and composition of biofilm have been studied, the knowledge of its microbial function and ecological risk is still limited. In this study, we investigated how the surface properties of MPs affect the biofilm communities and metabolic features under different environmental conditions, and explored the biofilm enrichment of antibiotic resistance genes (ARGs). The results showed that the incubation time, habitat and MPs aging state significantly influenced the structure and composition of biofilm microbial communities, and a small amount of pathogens have been found in the MPs-attached biofilm. The microbial carbon utilization capacity of the biofilm in different incubation habitats varies greatly with highest metabolism capacity appear in the river. The utilization efficiency of different carbon sources is polymer > carbohydrate > amino acid > carboxylic acids > amine/amide, which indicates that the biofilm communities have selectivity between different types of carbon sources. More importantly, ARGs were detected in all the MPs samples and showed a trend of estuary > river > marine. The aged MPs can accumulate more ARGs than the virgin items. In general, MPs in the aquatic environment may become a carrier for pathogens and ARGs to spread to other environment, which may enhance their potential risks to the ecosystem and human health. [Display omitted] • The composition and abundance of plastisphere are affected by environmental factors. • Microbial communities in river habitat have high carbon utilization capacity. • Plastisphere may affect microbial mediated carbon cycle in aquatic environment. • Antibiotic resistance genes enriched on the aged microplastics.",20231215,"Shan, Encui ; Zhang, Xiaoli ; Li, Jiasen ; Sun, Chaofan ; Teng, Jia ; Hou, Chaowei ; Zhao, Jianmin ; Sun, Shan ; Wang, Qing",Article,Academic Journal,Dec2023,true,Chemosphere,Carbon cycle ; Ecosystem health ; Microbial communities ; Amides ; Drug resistance in bacteria ; Biofilms ; Carboxylic acids ; Zwitterions,JOUR,,,0045-6535,,,,,eng,Elsevier B.V.,N.PAG,N.PAG,,344,,10.1016/j.chemosphere.2023.140420,,JQF,,https://research.ebsco.com/linkprocessor/plink?id=ac7917cb-0bbe-3b03-b153-6782e536665e
GreenFILE,8gh,153323594,Microplastics pollution in the ocean: Potential carrier of resistant bacteria and resistance genes.,"Microplastics pollution in marine environments is concerning. Microplastics persist and accumulate in various sections of the ocean where they present opportunity for micropollutant accumulation and microbial colonisation. Even though biofilm formation on plastics was first reported in the 1970's, it is only in recent years were plastic associated biofilms have gained research attention. Plastic surfaces pose a problem as they are a niche ready for colonisation by diverse biofilm assemblages, composed of specific bacterial communities and putative pathogens prone to acquiring ARGs and resistance in the biofilm. However, the nature of antibiotic resistance on aquatic plastic debris is not yet fully understood and remains a concern. Given the inevitable increase of plastic production and waste generation, microplastics released into the environment may prove to be problematic. This review explores microplastic waste in the ocean and possible concerns that may arise from the presence of microplastics in conjunction with favourable conditions for the development and dispersal of antibiotic resistance in the ocean and food web. • Microplastics fibres and fragments are commonly found polluting the world's ocean. • Microplastics biofilm assemblages are different from free-living communities. • Microplastics serve as a pathway for dispersal of drug resistant bacteria. • Microplastics allow for enrichment and dispersal of antibiotic resistance genes. • A need exist for regulatory frameworks addressing microplastics in aquatic ecosystems.",20211215,"Stenger, K.S. ; Wikmark, O.G. ; Bezuidenhout, C.C. ; Molale-Tom, L.G.",Article,Academic Journal,Dec2021,true,Environmental Pollution,Plastic marine debris ; Marine pollution ; Colonization (Ecology) ; Plastic scrap ; Microplastics ; Bacterial genes ; Biofilms ; Drug resistance in bacteria,JOUR,,,0269-7491,,,,,eng,Elsevier B.V.,N.PAG,N.PAG,,291,,10.1016/j.envpol.2021.118130,,JE4,,https://research.ebsco.com/linkprocessor/plink?id=ca03f67f-8c9e-3ac8-b53e-32028a206b5e
GreenFILE,8gh,177566313,Impacts of microplastic type on the fate of antibiotic resistance genes and horizontal gene transfer mechanism during anaerobic digestion.,"Microplastics (MPs) and antibiotic resistance genes (ARGs) are important pollutants in waste activated sludge (WAS), but their interactions during anaerobic digestion (AD) still need to be further explored. This study investigated variations in ARGs, mobile genetic elements (MGEs), and host bacteria during AD under the pressure of polyamide (PA), polyethylene (PE), and polypropylene (PP). The results showed that the MPs increased methane production by 11.7–35.5%, and decreased ARG abundance by 5.6–24.6%. Correlation analysis showed that the decrease of MGEs (plasmid, prophage, etc.) promoted the decrease of the abundance of multidrug, aminoglycoside and tetracycline resistance genes. Metagenomic annotation revealed that the reduction of key host bacteria (Arenimonas , Lautropia , etc.) reduced the abundance of major ARGs (rsmA , rpoB2 , etc.). Moreover, PP MPs contributed to a reduction in the abundance of functional genes related to the production of reactive oxygen species, ATP synthesis, and cell membrane permeability, which was conducive to reducing the potential for horizontal gene transfer of ARGs. These findings provide insights into the treatment of organic waste containing MPs. [Display omitted] • PA, PE and PP MPs promoted the production of VFAs and methane during AD. • PP and PE MPs significantly reduced ARG abundance and diversity. • The removal of MGEs and host bacteria was the main reason of ARG reduction. • PP MPs inhibited functional genes associated with horizontal gene transfer of ARGs.",20240601,"Xu, Ming ; Gao, Peng ; Gao, Yuan ; Xiong, Shi-jin ; Chen, Hao-qiang ; Shen, Xiao-xiao",Article,Academic Journal,Jun2024,true,Journal of Environmental Management,Anaerobic digestion ; Waste treatment ; Horizontal gene transfer ; Drug resistance in bacteria ; Mobile genetic elements ; Polyamides ; Polypropylene fibers,JOUR,,,0301-4797,,,,,eng,Academic Press Inc.,N.PAG,N.PAG,,360,,10.1016/j.jenvman.2024.121090,,EMJ,,https://research.ebsco.com/linkprocessor/plink?id=f790b545-4d80-375e-833f-50174cef6c0a
GreenFILE,8gh,181194068,Antibiotic resistance in urban soils: Dynamics and mitigation strategies.,"Antibiotic resistance (AR) is a critical global health issue with significant clinical and economic implications. AR occurs when microorganisms develop mechanisms to withstand the effects of antibiotics, reducing treatment efficacy and increasing the risk of mortality and healthcare costs. While the connection between antibiotic use in clinical and agricultural settings and the emergence of AR is well-established, the role of urban soils as reservoirs and spreaders of AR is underexplored. This review examines the complex dynamics of AR in urban soils, highlighting the various sources of antibiotics, including domestic wastewater, industrial effluents, urban agricultural practices, but also microplastics and domestic animal excrements. The selective pressure exerted by these anthropogenic sources promotes the proliferation of antibiotic-resistant bacteria, particularly through horizontal gene transfer, which facilitates the transmission of resistance genes among soil microorganisms in urban environments. About that, the presence of antibiotics in urban soils poses a significant threat to public health by potentially transferring resistance genes to human pathogens through multiple pathways, including direct contact, food consumption, and water ingestion. Furthermore, AR in urban soils disrupts microbial community dynamics, impacting soil fertility, plant growth, and overall environmental quality. Therefore, this review aims to address gaps in understanding AR in urban soils, offering insights into its implications for human health and ecosystem integrity. By identifying these gaps and suggesting evidence-based strategies, this review proposes valid and sustainable solutions to mitigate and counteract the spread of AR in urban environments.",20241220,"Gentile, Annamaria ; Di Stasio, Luca ; Oliva, Gianmaria ; Vigliotta, Giovanni ; Cicatelli, Angela ; Guarino, Francesco ; Nissim, Werther Guidi ; Labra, Massimo ; Castiglione, Stefano",Article,Academic Journal,Dec2024:Part 2,true,Environmental Research,Urban soils ; Agriculture ; Sewage ; Horizontal gene transfer ; Drug resistance in bacteria,JOUR,,,0013-9351,,,,,eng,Academic Press Inc.,N.PAG,N.PAG,,263,,10.1016/j.envres.2024.120120,,KZQ,,https://research.ebsco.com/linkprocessor/plink?id=1bc341f2-d18a-3134-912d-3279676badc1
GreenFILE,8gh,177907865,A review focusing on mechanisms and ecological risks of enrichment and propagation of antibiotic resistance genes and mobile genetic elements by microplastic biofilms.,"Microplastics (MPs) are emerging ubiquitous pollutants in aquatic environment and have received extensive global attention. In addition to the traditional studies related to the toxicity of MPs and their carrier effects, their unique surface-induced biofilm formation also increases the ecotoxicity potential of MPs from multiple perspectives. In this review, the ecological risks of MPs biofilms were summarized and assessed in detail from several aspects, including the formation and factors affecting the development of MPs biofilms, the selective enrichment and propagation mechanisms of current pollution status of antibiotic resistance genes (ARGs) and mobile genetic elements (MGEs) in MPs biofilms, the dominant bacterial communities in MPs biofilms, as well as the potential risks of ARGs and MGEs transferring from MPs biofilms to aquatic organisms. On this basis, this paper also put forward the inadequacy and prospects of the current research and revealed that the MGEs-mediated ARG propagation on MPs under actual environmental conditions and the ecological risk of the transmission of ARGs and MGEs to aquatic organisms and human beings are hot spots for future research. Relevant research from the perspective of MPs biofilm should be carried out as soon as possible to provide support for the ecological pollution prevention and control of MPs. [Display omitted]",20240620,"Zhou, Ranran ; Huang, Xirong ; Xie, Zhongtang ; Ding, Zhuhong ; Wei, Hengchen ; Jin, Qijie",Article,Academic Journal,Jun2024:Part 2,true,Environmental Research,Emerging contaminants ; Pollution prevention ; Bacterial communities ; Mobile genetic elements ; Biofilms ; Drug resistance in bacteria,JOUR,,,0013-9351,,,,,eng,Academic Press Inc.,N.PAG,N.PAG,,251,,10.1016/j.envres.2024.118737,,KZQ,,https://research.ebsco.com/linkprocessor/plink?id=de2f7822-a115-3ce5-8c96-b210cea7561f
GreenFILE,8gh,180995528,Effects of microplastics on dissipation of oxytetracycline and its relevant resistance genes in soil without and with Serratia marcescens: Comparison between biodegradable and conventional microplastics.,"The biodegradable (polybutylene adipate terephthalate: PBAT) and conventional (polyethylene: PE) microplastics (MPs) at 0.5 %, 1 %, and 2 % dosages (w/w) were added into soils with and without Serratia marcescens ZY01 (ZY01, a tet -host strain) to understand their different effects on the dissipation of oxytetracycline (OTC) and tet. The results showed that the dosages of PBAT MP exhibited different inhibition degrees of OTC biodegradation in soils regardless of ZY01, while the dosages of PE MP did not change the enhancement degree of OTC biodegradation in soils without ZY01. These differences were due to the higher adsorption capacity of OTC on PBAT MP and the stronger toxicity of PBAT MP to microorganisms. Besides soil organic matter, pH and total phosphorus were important factors regulating specific tet -host bacteria in soils with MPs (e.g., the nitrogen-cycling bacteria Steroidobacter and Nitrospira) and MPs + ZY01 (e.g., the phosphorus-cycling bacteria Saccharimonadales and Haliangium), respectively. Regardless of ZY01, a stronger selective harboring of tet -host bacteria in PE MP treatments than PBAT MP treatments was observed at the MP dosage of 1 % (w/w), while the opposite trend was true at the MP dosages of 0.5 % and 2 % (w/w). Some specific genera belonging to Actinobacteriota strongly associated with the class 1 integron-integrase gene (intI1), playing a critical role in the horizontal gene transfer of tet in soils especially for the co-existence of MPs and ZY01. This study will be helpful for understanding on how biodegradable and conventional MPs as hotspots affect the environmental behavior of antibiotics and ARGs in soil. [Display omitted] • Inhibition degree of OTC biodegradation in soils was related to PBAT dosages. • PE dosages had little influence on enhancing OTC biodegradation in soils without ZY01. • The 1 % dosage of PE had stronger selective harboring of tet -host bacteria than PBAT. • Beside SOM, pH and TP drove tet abundance in soils without and with ZY01, respectively. • Specific genera from Actinobacteriota with intI1 mainly regulated tet spread in soils.",20241115,"Zhang, Guixiang ; Ren, Rui ; Yan, Xiurong ; Zhang, Hongyu ; Zhu, Yuen",Article,Academic Journal,Nov2024,true,Ecotoxicology & Environmental Safety,Horizontal gene transfer ; Drug resistance in bacteria ; Serratia marcescens ; Polybutylene terephthalate ; Inhibition (Chemistry),JOUR,,,0147-6513,,,,,eng,Academic Press Inc.,N.PAG,N.PAG,,287,,10.1016/j.ecoenv.2024.117235,,L0E,,https://research.ebsco.com/linkprocessor/plink?id=52ecb7a4-cacc-32c3-813f-8deeaf55c450
GreenFILE,8gh,158697537,"Insight into effects of polyethylene microplastics in anaerobic digestion systems of waste activated sludge: Interactions of digestion performance, microbial communities and antibiotic resistance genes.","The environmental risks of microplastics (MPs) have raised an increasing concern. However, the effects of MPs in anaerobic digestion (AD) systems of waste activated sludge (WAS), especially on the fate of antibiotic resistance genes (ARGs), have not been clearly understood. Herein, the variation and interaction of digestion performance, microbial communities and ARGs during AD process of WAS in the presence of polyethylene (PE) MPs with two sizes, PE MPs-180μm and PE MPs-1mm, were investigated. The results showed that the presence of PE MPs, especially PE MPs-1mm, led to the increased hydrolysis of soluble polysaccharides and proteins and the accumulation of volatile fatty acids. The methane production decreased by 6.1% and 13.8% in the presence of PE MPs-180μm and PE MPs-1mm, respectively. Together with this process, hydrolytic bacteria and acidogens were enriched, and methanogens participating in acetoclastic methanogenesis were reduced. Meanwhile, ARGs were enriched obviously by the presence of PE MPs, the abundances of which in PE MPs-180μm and PE MPs-1mm groups were 1.2–3.0 times and 1.5–4.0 times higher than that in the control by the end of AD. That was associated with different co-occurrence patterns between ARGs and bacterial taxa and the enrichment of ARG-hosting bacteria caused by the presence of PE MPs. Together these results suggested the adverse effects of PE MPs on performance and ARGs removal during AD process of WAS through inducing the changes of microbial populations. [Display omitted] • The effects of PE MPs with two sizes in AD systems of WAS were investigated. • PE MPs promoted hydrolysis and acidification and inhibited methanation processes. • Microbial communities associated with AD performance were changed by PE MPs. • ARGs were enriched by PE MPs during AD process. • PE MPs resulted in different ARG-taxa associations and the enrichment of ARG-hosts.",20221001,"Shi, Jianhong ; Dang, Qiuling ; Zhang, Chuanyan ; Zhao, Xinyu",Article,Academic Journal,Oct2022,true,Environmental Pollution,Sewage sludge digestion ; Anaerobic digestion ; Microbial communities ; Polyethylene ; Plastics ; Drug resistance in bacteria ; Microplastics,JOUR,,,0269-7491,,,,,eng,Elsevier B.V.,N.PAG,N.PAG,,310,,10.1016/j.envpol.2022.119859,,JE4,,https://research.ebsco.com/linkprocessor/plink?id=c83c7b49-cc0b-3061-abae-36c15b2e5831
GreenFILE,8gh,158697562,Microplastisphere may induce the enrichment of antibiotic resistance genes on microplastics in aquatic environments: A review.,"Microplastics have been proven to be hotspots of bacterial pathogens and antibiotic resistance genes (ARGs). The enrichment of ARGs in microplastisphere, the specific niche for diverse microbial communities attached to the surface of microplastic, has attracted worldwide attention. By collecting 477 pairs of ARG abundance data belonging to 26 ARG types, based on the standardized mean difference (SMD) under the random effect model, we have performed the first meta-analysis of the ARG enrichment on microplastics in aquatic environments in order to quantitatively elucidate the enrichment effect, with comparison of non-microplastic materials. It was found that ARGs enriched on the microplastics were more abundant than that on the inorganic substrates (SMD = 0.26) and natural water environments (SMD = 0.10), but lower abundant than that on the natural organic substrates (SMD = −0.52). Furthermore, microplastics in freshwater tended to have a higher degree of ARG enrichment than those in saline water and sewage. The biofilm formation stage, structure, and component of microplastisphere may play a significant role in the enrichment of ARGs. [Display omitted] • Microplastics may enrich ARGs in aquatic environments. • ARG enrichment for microplastics is in-between inorganic and organic substrates. • Microplastics can enrich more ARGs in freshwater than in saline water or sewage. • Biofilm formation process affects the ARG enrichment in the microplastisphere.",20221001,"Yu, Xue ; Zhang, Ying ; Tan, Lu ; Han, Chenglong ; Li, Haixiao ; Zhai, Lifang ; Ma, Weiqi ; Li, Chengtao ; Lu, Xueqiang",Article,Academic Journal,Oct2022,true,Environmental Pollution,Plastic marine debris ; Aquatic biodiversity ; Saline waters ; Microbial communities ; Microplastics ; Drug resistance in bacteria ; Random effects model,JOUR,,,0269-7491,,,,,eng,Elsevier B.V.,N.PAG,N.PAG,,310,,10.1016/j.envpol.2022.119891,,JE4,,https://research.ebsco.com/linkprocessor/plink?id=2d198f06-2eee-3bb9-b0f5-534252429403
GreenFILE,8gh,176066554,"Climate warming, environmental degradation and pollution as drivers of antibiotic resistance.","Antibiotic resistance is a major challenge to public health, but human-caused environmental changes have not been widely recognized as its drivers. Here, we provide a comprehensive overview of the relationships between environmental degradation and antibiotic resistance, demonstrating that the former can potentially fuel the latter with significant public health outcomes. We describe that (i) global warming favors horizontal gene transfer, bacterial infections, the spread of drug-resistant pathogens due to water scarcity, and the release of resistance genes with wastewater; (ii) pesticide and metal pollution act as co-selectors of antibiotic resistance mechanisms; (iii) microplastics create conditions promoting and spreading antibiotic resistance and resistant bacteria; (iv) changes in land use, deforestation, and environmental pollution reduce microbial diversity, a natural barrier to antibiotic resistance spread. We argue that management of antibiotic resistance must integrate environmental goals, including mitigation of further increases in the Earth's surface temperature, better qualitative and quantitative protection of water resources, strengthening of sewage infrastructure and improving wastewater treatment, counteracting the microbial diversity loss, reduction of pesticide and metal emissions, and plastic use, and improving waste recycling. These actions should be accompanied by restricting antibiotic use only to clinically justified situations, developing novel treatments, and promoting prophylaxis. It is pivotal for health authorities and the medical community to adopt the protection of environmental quality as a part of public health measures, also in the context of antibiotic resistance management. [Display omitted] • The relation of environmental changes with antibiotic resistance (AR) was reviewed. • Climate change, biodiversity loss, microplastic and chemical pollution promote AR. • Further research assessing the scale of environmental effects on AR is needed. • AR mitigation requires incorporating multifaceted environmental goals. • The medical community must recognize the links between environment quality and AR.",20240401,"Rzymski, Piotr ; Gwenzi, Willis ; Poniedziałek, Barbara ; Mangul, Serghei ; Fal, Andrzej",Article,Academic Journal,Apr2024,true,Environmental Pollution,Global warming ; Environmental degradation ; Pollution ; Plastic marine debris ; Earth temperature ; Drug resistance in bacteria ; Antibiotic residues,JOUR,,,0269-7491,,,,,eng,Elsevier B.V.,N.PAG,N.PAG,,346,,10.1016/j.envpol.2024.123649,,JE4,,https://research.ebsco.com/linkprocessor/plink?id=9146faef-fbf6-3978-8dea-dadf865f99d4
GreenFILE,8gh,181194137,Tire wear particles enhance horizontal gene transfer of antibiotic resistance genes in aquatic ecosystems.,"Microplastics (MPs) have introduced new surfaces for biofilm development and gene exchange among bacteria. We investigated Tire Wear Particles (TWPs) for their involvement in horizontal gene transfer (HGT), particularly in relation to associated metals in the matrices of TWPs. We employed red-fluorescently tagged E. coli strain as a donor with green-fluorescently tagged, broad-host-range plasmid pKJK5, resistant to trimethoprim. As a recipient, we utilized Pseudomonas sp. and a natural lake microbial community. HGT activity on TWPs was determined and compared with that on polystyrene (PS) (with and without metals), and chitosan, which was used as a natural surface. Exposure to TWPs significantly enhanced HGT frequency of antibiotic resistance gene (ARG) from donor to recipient compared to PS and chitosan, and metals of TWPs further promoted HGT. HGT frequency on TWPs with Pseudomonas sp. was found to be 10<sup>−3</sup> at 30 °C. in the lake community, it was similarly high already at 25 °C suggesting a higher permissiveness of the natural microbial community towards ARG at lower temperatures. This study sheds light on the potential impact of TWPs in promoting HGT, forming the basis for health risk assessments of TWPs and more generally of MP pollution in various aquatic ecosystems. • Tire wear particles (TWPs) serve as hotspots of horizontal gene exchange (HGT) among bacteria in aquatic ecosystems. • Metals in TWPs play an important role in HGT. • Plasmid exchange primarily happens in microbial biofilms on TWP surfaces. • HGT associated to TWP increases manifold at higher temperatures. • HGT associated to TWP of natural lake bacteria occurs at lower temperatures compared to lab model systems.",20241225,"Jaffer, Yousuf Dar ; Abdolahpur Monikh, Fazel ; Uli, Klümper ; Grossart, Hans-Peter",Article,Academic Journal,Dec2024:Part 3,true,Environmental Research,Biotic communities ; Escherichia coli ; Health risk assessment ; Water pollution ; Horizontal gene transfer ; Biofilms,JOUR,,,0013-9351,,,,,eng,Academic Press Inc.,N.PAG,N.PAG,,263,,10.1016/j.envres.2024.120187,,KZQ,,https://research.ebsco.com/linkprocessor/plink?id=ccef787f-f8ff-3ec5-a50c-69a0bb55ceb0
GreenFILE,8gh,160291159,A review on the effect of micro- and nano-plastics pollution on the emergence of antimicrobial resistance.,"The recent upsurge in the studies on micro/nano plastics and antimicrobial resistance genes has proven their deleterious effects on the environmental and human health. Till-date, there is a scarcity of studies on the interactions of these two factors and their combined influence. The interaction of microplastics has led to the formation of new plastics namely plastiglomerates, pyroplastics. and anthropoquinas. It has long been ignored that the occurrence of microplastics has become a breeding ground for the emergence of antimicrobial resistance genes. Evidently microplastics are also associated with the occurrence of other pollutants such as polyaromatic hydrocarbons and pesticides. The increased use of antibiotics (after Covid breakout) has further elevated the detrimental effects on human health. Therefore, this study highlights the relation of microplastics with antibiotic resistance generation. The factors such as uncontrolled use of antibiotics and negligent plastic consumption has been evaluated. Furthermore, the future research prospective was provided that can be helpful in correctly identifying the seriousness of the environmental occurrence of these pollutants. [Display omitted] • Microplastics and antimicrobial resistance has become a global menace. • Microplastics serve as breeding ground for AMR microorganisms. • They also interact with other persistent pollutant in the environment. • Combating strategies should be focused considering both the pollutants together.",20230105,"Gaur, Vivek Kumar ; Sirohi, Ranjna ; Bhat, Mohd Ishfaq ; Gautam, Krishna ; Sharma, Poonam ; Srivastava, Janmejai Kumar ; Pandey, Ashok",Article,Academic Journal,Jan2023:Part 1,true,Chemosphere,Plastic marine debris ; Pollutants ; Persistent pollutants ; Marine pollution ; Polycyclic aromatic hydrocarbons ; Drug resistance in microorganisms ; Microplastics,JOUR,,,0045-6535,,,,,eng,Elsevier B.V.,N.PAG,N.PAG,,311,,10.1016/j.chemosphere.2022.136877,,JQF,,https://research.ebsco.com/linkprocessor/plink?id=b4f3299c-da8a-3b08-b7a6-b7af8ed67470
GreenFILE,8gh,181683346,Effects of aging of polyethylene microplastics and polystyrene nanoplastics on antibiotic resistance gene transfer during primary sludge fermentation.,,20241220,"Saila, Romana ; Dhar, Bipro Ranjan",Article,Academic Journal,Dec2024,true,Science of the Total Environment,,JOUR,,,0048-9697,,,,,eng,Elsevier B.V.,N.PAG,N.PAG,,957,,10.1016/j.scitotenv.2024.177589,,3QW,,https://research.ebsco.com/linkprocessor/plink?id=281d0104-09af-33b8-9523-5f392a3810d8
