Title,Abstract,Authors,DOI,Journal
Study On The Presence Of Resistant Diarrheagenic Pathotypes In Escherichia Coli Isolated From Patients With Urinary Tract Infection,This article aimed to analyze the diarrheagenic potential of E. coli isolated from urinary tract infection (UTI) and to recognize the presence of antibiotic resistance genes.,"Safoura Derakhshan, Fariba Farhadifar, Daem Roshani, Amjad Ahmadi, Fakhri Haghi",No DOI,Gastroenterology And Hepatology From Bed To Bench
[Molecular Mechanisms Of Drug Resistance Neisseria Gonorrhoeae History And Prospects],"Neisseria gonorrhoeae (gonococcus) is a strict human pathogen, which causes gonorrhea--an infectious disease, whose origin dates back to more than two thousand years. Due to the unique plasticity of the genetic material, these bacteria have acquired the capacity to adapt to the host immune system, cause repeated infections, as well as withstand antimicrobials. Since the introduction of antibiotics in 1930s, gonococcus has displayed its propensity to develop resistance to all clinically useful antibiotics. It is important to note that the known resistance determinants of N. gonorrhoeae were acquired through horizontal gene transfer, recombination and spontaneous mutagenesis, and may be located both in the chromosome and on the plasmid. After introduction of a new antimicrobial drug, gonococcus becomes resistant within two decades and replaces sensitive bacterial population. Currently Ceftriaxone is the last remaining antibiotic for first-line treatment of gonorrhea. However, the first gonococcus displaying high-level resistance to Ceftriaxone was isolated in Japan a few years ago. Therefore, in the near future, gonorrhea may become untreatable. In the present review, we discuss the chronology of the anti-gonorrhea drugs (antibiotics) replacement, the evolution of resistance mechanisms emergence and future perspectives of N. gonorrhoeae treatment.","I N Bodoev, E N Il'Ina",No DOI,"Molekuliarnaia Genetika, Mikrobiologiia I Virusologiia"
True Resistance To Local Anaesthetics: An Unusual Cause Of Failure,No abstract available,"A Sleiwah, M Mcbride, S Dustagheer",No DOI,Irish Medical Journal
Secondary Sclerosing Cholangitis Following Major Burn,Secondary sclerosing cholangitis in critically ill patients (SSC-CIP) is a relatively new previously unrecognized entity which may lead to severe biliary disease with rapid progression to cirrhosis. We present for the first time a case series of patients with rapidly progressive SSC-CIP requiring aggressive intensive care treatment following major burn injury.,"Ziv Ben-Ari, David Levingston, Ella Weitzman, Yael Haviv-Yadid, Oranit Cohen-Ezra, Peretz Weiss, Eli Zuckerman, Yael Inbar, Michal Amitai, Uri Rimon, Maya Goder, Josef Haik",No DOI,Annals Of Hepatology
Nitroglycerin Hypotensive Effect And Application In A Combined Surgery For Reconstruction After Ipsilateral Maxillectomy And Orbit Evisceration,"The oral and maxillofacial region is rich in blood, and it is often difficult to stop bleeding during the operation of maxilla. Nitroglycerin is one of the most commonly used antihypertensive drugs in our hospital. We observed the effect of controlled hypotension in patients with maxillary resection. In group N, the patients had different degrees of tachycardia after using nitroglycerin only. In addition, nitroglycerin has the characteristics of rapid drug resistance. A combined reversed temporal muscle flap and random forehead flap technique was performed successfully to reconstruct the large defect after ipsilateral maxillectomy and orbit evisceration. There were 43 cases used this method during 2014-2016 without large side effects.","Yuhang Sun, Xiaohui Dong, Guofeng Zhang, Jing An, Haojun Yuan",No DOI,Pakistan Journal Of Pharmaceutical Sciences
[Influence Of Poly-Β-1-6-N-Acetylglucosamine On Biofilm Formation And Drug Resistance Of Acinetobacter Baumannii],"Acinetobacter baumannii has emerged as one of the leading bacteria for nosocomial infections, especially in burn wards and ICUs. The bacteria can easily form biofilm and readily attach to abiotic and biotic surfaces, resulting in persistent biofilm-mediated infections. Being surrounded by self-produced extracellular polymeric substance (EPS), the microorganisms in biofilm can acquire protective property against detrimental environment and their tolerance toward antibiotics is increased. Poly-β-1-6-N-acetylglucosamine (PNAG), the common constituent of EPS in Acinetobacter baumannii, acts as the key virulence factor and plays a crucial role in biofilm formation process. This review describes the properties and functions of the PNAG and its influence on biofilm formation and drug resistance of Acinetobacter baumannii.","Haina Guo, Jun Xiang",No DOI,Zhonghua Shao Shang Za Zhi = Zhonghua Shaoshang Zazhi = Chinese Journal Of Burns
[The Role Of Microbiological Monitoring And Drug History In The Effectiveness Of Antibiotic Prophylaxis And Antibiotic Treatment Of Infectious Complications After Reconstructive Surgeries],"We analyzed the results of the local microbiological monitoring carried out in 2010-2013. The monitoring included the study of biological material of patients with clinical signs of infectious and inflammatory complications after reconstructive surgery. We studied the dynamics of the isolation of major pathogens (Staphylococcus spp., Enterococcus spp., representatives of Enterobacteriaceae, Pseudomonas aeruginosa, Acinetobacter baumannii, Candida spp.) and their sensitivity to major antibiotics.","N S Bogomolova, S M Kuznetsova, L V Bolshakov",No DOI,Anesteziologiia I Reanimatologiia
Candidiasis: Prevalence And Resistance Profiling In A Tertiary Care Hospital Of Pakistan,To determine Candida colonisation/infection in renal transplant patients and to determine the resistance pattern against antifungal drugs.,"Bushra Jamil, Mohammad Tauseef Mukhtar Bokhari, Azhar Saeed, Mohammad Zahid Mukhtar Bokhari, Zakir Hussain, Tayyaba Khalid, Habib Bokhari, Mohammad Imran, Shahid Ahmad Abbasi",No DOI,Jpma. The Journal Of The Pakistan Medical Association
"Study On Biofilm Formation In Burn Wound Infection In A Pediatric Hospital In Chennai, India","Infection is one of the major causes of death in pediatric burns in India. This work was conducted in an exclusive Children's Hospital (KKCTH) with a total of 220 beds, of which ten beds in the burn unit and two isolation beds in the 28-bed PICU are for burns patients (more than 20% TBSA burns) with sepsis. In this study, 30 burn wound swab isolates obtained from 14 pediatric burns patients (admitted to the burns ward and transferred to PICU) from November 2013 to March 2014 were investigated. Cultures were done on the first day for all patients and empirical antibiotic administration was started for those with septic burns (14 in total) with piperacillin-tazobactam and vancomycin. Antibiotics were changed according to antibiotic sensitivity reports. Cultures were repeated for culture positive cases on the fifth day. Further antibiotic treatment was based on this culture report. When the general condition of the patient did not respond to highlevel antibiotics, biofilm formation was suspected and evaluated as the possible cause of antibiotic resistance. For these patients, an enhanced method of wound debridement and albumin transfusions were used to improve their general condition. Microbial identification and antimicrobial sensitivity testing was done for all 30 isolates. The predominant bacteria were Pseudomonas aeruginosa, Acinetobacter and Staphylococcus aureus. Most of the Acinetobacter and Staphylococcus aureus showed multidrug resistance. Biofilm formation was studied using the Tissue Culture Plate (TCP) method for all bacterial isolates, and results showed that most of the MDR isolates formed biofilm.","M Ramakrishnan, S Putli Bai, M Babu",No DOI,Annals Of Burns And Fire Disasters
Association Of Cd44+Cd24-/Low With Markers Of Aggressiveness And Plasticity Of Cell Lines And Tumors Of Patients With Breast Cancer,To search for additional molecular-biological markers of cancer stem cell (CSC) involved in the development of intra-tumor heterogeneity for the detection of features of the breast cancer (BC) pathogenesis.,"V F Chekhun, N Y Lukianova, S V Chekhun, N O Bezdieniezhnykh, T V Zadvorniy, T V Borikun, L Z Polishchuk, O М Klyusov",No DOI,Experimental Oncology
Risk Factors Of Emerging Multidrug Resistant Acinetobacter Baumannii In Burn Patients At Burn Unit Of Dr. Soetomo Hospital,"Burn injury patients are at high risk of infection as a result of the nature of the burn injury itself, including prolonged hospital stays, antibiotics use, treatment procedures, etc. In this era, nosocomial infections caused by Acinetobacter baumannii (A.ba) have increased significantly. This study was conducted to investigate the micro-organism pattern and the risk factors for burn patients with multi-drug resistant (MDR) Acinetobacter baumannii (A.ba) in the Burn Unit at Dr. Soetomo Hospital.","M Primasari, A S Budi, L Hariani, N D Kurniati, I D Saputro",No DOI,The Medical Journal Of Malaysia
Update On The Treatment Of Androgenetic Alopecia,"Androgenetic alopecia is the most common type of hair loss, affecting women (50% of menopausal women and a large number of women of childbearing age) as well as males (over 70% of adult men). Since the condition is of an evolutionary nature, it is important to intervene early in order to prevent the progression of the clinical picture. It is equally important to identify all the factors that may hinder the effectiveness of the therapy.","S Rinaldi, M Bussa, A Mascaro",No DOI,European Review For Medical And Pharmacological Sciences
Inhibition Of Autophagy Results In A Reversal Of Taxol Resistance In Nasopharyngeal Carcinoma By Enhancing Taxol-Induced Caspase-Dependent Apoptosis,"Drug resistance in nasopharyngeal carcinoma remains a major obstacle of clinical therapy. We found that the taxol-resistant cells demonstrated higher basal levels of autophagy than parental cells, which could be inhibited by 3-MA and Beclin-1-siRNA. We further revealed that inhibition of autophagy enhanced taxol-induced caspase-dependent apoptosis, resulted in partial reversal of the acquired taxol resistance in taxol-resistant cells. Our results suggest that the combination of an autophagy inhibitor with taxol may be a promising approach to promote therapeutic efficacy in patients with nasopharyngeal carcinoma.","Yexun Song, Wei Li, Xiaowei Peng, Jun Xie, Heqing Li, Guolin Tan",No DOI,American Journal Of Translational Research
[Controlling Infection And Spread Of Carbapenems-Resistant Klebsiella Pneumoniae Among Burn Patients],"The emergence and spread of carbapenems-resistant Klebsiella pneumoniae (CRKP) in burn ward is an important threat to burn management. CRKP isolates are resistant to almost all available antibiotics and are susceptible only to polymyxins and tigecycline. The mechanism of the drug resistance of CRKP is associated with the plasmid-encoded carbapenemase Klebsiella pneumoniae carbapenemase (KPC), a carbapenem-hydrolyzing β-lactamase. Antibiotics which can currently be used to treat CRKP infection include polymyxins, tigecycline, and some aminoglycosides. The efficacy of using antibiotics in combination is better than that of single-agent therapy for the treatment of CRKP infection in bloodstream. In order to control CRKP infection in burn patients, strategies for preventing CRKP dissemination in burn ward are strongly advocated.",Jingning Huan,No DOI,Zhonghua Shao Shang Za Zhi = Zhonghua Shaoshang Zazhi = Chinese Journal Of Burns
[Drug Resistance And Status Of Infection Of Acinetobacter Baumannii In Burn Intensive Care Unit During 3 Years],"To analyze the detection, drug resistance, and status of infection of Acinetobacter baumannii (AB) in burn ICU during 3 years.","Bin Chen, Xiaojian Li, Zhi Zhang, Xuhui Zhang, Zhongyuan Deng, Xiaomin Zhong, Wenbin Tang, Changling Liu, Wenjuan Cao",No DOI,Zhonghua Shao Shang Za Zhi = Zhonghua Shaoshang Zazhi = Chinese Journal Of Burns
Targeting Stat3 Restores Braf Inhibitor Sensitivity Through Mir-759-3P In Human Cutaneous Melanoma Cells,"Melanoma treatment with the BRAF V600E inhibitor vemurafenib provides therapeutic benefits, but the common emergence of drug resistance remains a challenge. To define molecular mechanisms of vemurafenib resistance, we generated A375-R, WM35-R cell lines resistant to vemurafenib and found that the p-STAT3 was upregulated in these cells in vitro and in vivo. In particular, activation of the STAT3 pathway was associated with vemurafenib resistance. Inhibition of this pathway with STAT3-specific siRNA (shRNA) sensitized A375-R, WM35-R cells to vemurafenib and induced apoptosis in vitro and in vivo. Moreover, targeting STAT3 induced expression of miR-579-3p and elicited resistance to vemurafenib. However, targeting miR-579-3p with anti- miR-579-3p reversed the resistance to vemurafenib. Together, these results indicate that STAT3-mediated downexpression of miR-579-3p caused resistance to vemurafenib. Our findings suggest novel approaches to overcome resistance to vemurafenib by combining vemurafenib with STAT3 silencing or miR-579-3p overexpression.","Yipeng Su, Ying Yu, Dongying He, Jinna Zhang, Zhiguo Wang, Pengfei Sun, Zhenyu Chen",No DOI,International Journal Of Clinical And Experimental Pathology
Bacterial And Antimicrobial Susceptibility Profile And The Prevalence Of Sepsis Among Burn Patients At The Burn Unit Of Cipto Mangunkusumo Hospital,"Infection is a major cause of mortality and morbidity among burn patients. An effective measure to reduce infection is routine monitoring of bacterial infection and antimicrobial susceptibility patterns at the burn unit. This will help to create a burn centre-specific empirical antibiotic therapy protocol. A retrospective, descriptive study was conducted at the Cipto Mangunkusumo Hospital (RSCM) Burn Unit between September-November 2016. Data regarding bacterial culture isolates, antimicrobial susceptibility spectrum, and the number of burn patients diagnosed with sepsis were collected. There were 36 patients with positive bacterial cultures, with the isolates changing continuously between Klebsiella pneumonia (17%), Pseudomonas Aeruginosa (12%) and Acinetobacter baumannii (11%). High resistance was found for 10 antimicrobials, particularly cephalosporins. The three bacteria were only sensitive to carbapenem, aminoglycosides and tigecycline. Fourteen patients were diagnosed with sepsis (38.9%), 10 died. Two major sepsis-causing bacteria were P. aeruginosa (33.3%) and K. pneumoniae (28.9%). Bacterial isolates in our setting changed every month. Almost all bacterial isolates are multi-drug resistant, highly resistant to the empirical therapy given (ceftriaxone), leading to outbreaks of sepsis and increased mortality rates. Carbapenem (imipenem, meropenem and doripenem) and aminoglycosides (amikacin) combination was the selected empirical therapy.","A Wardhana, R Djan, Z Halim",No DOI,Annals Of Burns And Fire Disasters
Recurrent Subcutaneous Abscess Due To Nocardia Farcinica In An Immunocompetent Patient: A Case Report,Nocardia farcinica differs from other species of Nocardia due to its multi-drug resistance and propensity to disseminate hematogenously. Cutaneous nocardiosis in immunocompetent patients is rare.,"Burçin Acuner, Füsun Cömert",No DOI,Wound Management & Prevention
"Immune Cells Regulate Matrix Metalloproteinases To Reshape The Tumor Microenvironment To Affect The Invasion, Migration, And Metastasis Of Pancreatic Cancer","This study aimed to identify author, country, institutional, and journal collaborations and assess their impact, along with knowledge base, as well as identify existing trends, and uncover emerging topics related to matrix metalloproteinase and pancreatic-cancer research. A total of 1474 Articles and reviews were obtained from the Web of Science Core Collection and analyzed by Citespace and Vosviewer. CANCER RESEARCH, CLINICAL CANCER RESEARCH, and FRONTIERS IN IMMUNOLOGY are the most influential journals. The three main aspects of research in matrix metalloproteinases-pancreatic cancer-related fields included the pathogenesis mechanism of pancreatic cancer, how matrix metalloproteinases affect the metastasis of pancreatic cancer, and what role matrix metalloproteinases play in pancreatic cancer treatment. Tumor microenvironment, pancreatic stellate cells, drug resistance, and immune cells have recently emerged as research hot spots. In the future, exploring how immune cells affect matrix metalloproteinases and reshape the tumor microenvironment may be the key to curing pancreatic cancer. This study thus offers a comprehensive overview of the matrix metalloproteinases-pancreatic cancer-related field using bibliometrics and visual methods, providing a valuable reference for researchers interested in matrix metalloproteinases-pancreatic cancer.","Chunqiu Wang, Zhen Deng, Longjun Zang, Yufeng Shu, Suifang He, Xin Wu",No DOI,American Journal Of Translational Research
Surveillance Of Gram-Positive Cocci Infections And Drug Resistance,"In this study, the prevalence of gram-positive cocci isolates and the characteristics of multiple drug resistances in patients were investigated. Antibiotic resistances were determined in the clinical microbiology laboratory with the methodology of the CLSI (2012). The software WHONET5.4 and SPSS13.0 were used for statistical analysis. There were a total of 6211 gram-positive cocci isolates, comprised of 2255 (36.3%) coagulase (-) staphylococci, 1277 (20.6%) staphylococci aureus, 1109 (17.9%) enterococcus faecalis, and 1045 (16.8%) enterococcus faecium. The proportion of Methicillin resistant staphylococcus aureus (MRSA) was 16.6% (212/1277). Methicillin resistant coagulase (-) staphylococci (MRCNS) was 14.1% (318/2255). There were no strains in isolated enterococci resistant to vancomycin, teicoplanin and linezolid. Among the majority of all monitored antibiotics, methicillin resistant staphylococci has much higher drug resistance rate than methicillin sensitive staphylococci (p<0.05). Enterococcus faecalis has higher multiple drug resistant rate than enterococcus faecium (p<0.01). This research may support the clinicians in prescribing antibiotics properly.","G Li, S Hou, Y Li, S Liu, D Teng, D Hou",No DOI,"Cellular And Molecular Biology (Noisy-Le-Grand, France)"
Environmental Factors Associated With Etiology Of Microbiologically Confirmed Reconstructive Breast Implant Infections: Impact On Clinical Management And Treatment,"Even if wide differences exist in the incidence of Gram-negative infections following breast cancer implant reconstructions (2-20%), its occurrence needs to be considered to optimize antibiotic therapy, which is usually directed towards Gram-positive cocci. There is a general notion on the possible source of Gram-negative microorganisms during outdoor activities. For this reason, we administered a specific questionnaire to infected patients to investigate this aspect. In 450 consecutive implant reconstructions between January 1, 2016 and March 31, 2018, 27 patients (6%) developed proven infection. For each patient, we collected age, tumor stage and recurrence, chemo/radiotherapy, infecting microorganism, fate of implant, type and duration of antibiotic treatment, and administered a questionnaire on exposure to contaminated environments. Twenty patients (74%) had Gram-positive and 7 (26%) had implants infected by Gram-negative agents. The two groups were homogeneous as regards age and no statistically significant difference was observed for other parameters. A significant difference was detected with regard to environmental risk factors in the Gram-negative group (p=0,049). Length of antibiotic therapy was longer in the Gram-negative patients (17.4 vs 11.05 days) and antibiotic treatment was ineffective in 43% of the Gram-negative group. Environmental factors may be an element to evaluate in order to improve patient management. Surveys on larger cohorts are warranted.","Simonetta Franchelli, Alessandro Rossin, Marianna Pesce, Anna Marchese, Andrea De Maria",No DOI,The New Microbiologica
"Tumstatin 185-191 Increases The Sensitivity Of Non-Small Cell Lung Carcinoma Cells To Cisplatin By Blocking Proliferation, Promoting Apoptosis And Inhibiting Akt Activation","This study aimed to investigate the synergistic anti-tumor effects of tumstatin 185-191 and cisplatin in non-small cell lung carcinoma cells (NSCLC) (A549 cells and cisplatin resistant A549/DDP cells), and the potential role of Akt signaling pathway was also explored.","Wei Wang, Ping Chen, Min Tang, Junli Li, Yanfang Pei, Shan Cai, Xiao Zhou, Senlin Chen",No DOI,American Journal Of Translational Research
