Title,Abstract,Authors,DOI,Journal
Antibiotic Resistance Genes In Biofilms On Plastic Wastes In An Estuarine Environment,"Plastic wastes are ubiquitous in aquatic environment. Biofilms, which are often formed on the surface of plastic waste, may contain antibiotic resistance genes (ARGs). This study focused on the occurrence and distribution of ARGs, metal resistance genes (MRGs) and their associated microbial communities in biofilms formed on different types of plastic, in comparison to associated sediment and water samples taken from the Yangtze Estuary. The results showed that polypropylene (PP) and polyethylene (PE) with visible biofilms were highly abundant, and the average absolute abundance of most tested ARGs in the biofilms was higher than that in the sediment and water, indicating that biofilms on plastics can act as a reservoir for ARGs. Moreover, the biofilms on PE had a higher relative abundance of ARGs, compared to those on other plastics, and Firmicutes on PE may be potential hosts for these ARGs. Furthermore, Bacillus, Mycobacterium and Aseudomonas may be multi resistance genera on plastics, and IeIA and tetW may have more potential hosts on PET and PP. Metals, total phosphorus and salinity may be the major environmental factors regulating ARGs in biofilms formed on plastics. The results provide new insights into evaluating the risks caused by plastic wastes and ARGs in biofilms formed on plastics in estuarine environment. (C) 2020 Elsevier B.V. All rights reserved.","Guo, Xp; Sun, Xl; Chen, Yr; Hou, Lj; Liu, M; Yang, Y",10.1016/j.scitotenv.2020.140916,Science Of The Total Environment
Tracking Antibiotic Resistance Genes In Microplastic-Contaminated Soil,"Agricultural soils and microplastics (MPs) are hotspots for antibiotic resistance genes (ARGs). Plastic mulch is the most important source of MPs in agricultural soil. ARGs, mobile genetic elements (MGEs), and their host profiles in long-term mulch MP-exposed soils remain unclear. In the present study, metagenomics was used to investigate the distribution patterns of ARGs and MGEs in eight Chinese provinces with a long history of plastic mulch use. A total of 204 subtypes of ARGs and thousands of MGEs (14 integrons, 28 insertions, and 2993 plasmids) were identified. A similar diversity of ARGs was found among MPs film-contaminated sites. The types of ARGs with a high abundance were more concentrated, and multidrug resistance genes were the dominant ARGs. Soils from regions with a longer history of plastic film use (such as Xinjiang province) had a higher abundance of ARGs and MGEs. The distribution of ARGs and MGEs exhibited a modular network distribution pattern. A total of 27 ARG subtypes and 29 MGEs showed co-occurrence network relationships. More than 10 common hosts of ARGs and MGEs, such as Pseudomonas, were found, and their abundances were highest in three provinces, including Xinjiang. This study may help elucidate the impact mechanism of long-term MP residues on the occurrence and spread of ARGs in soil.","Wu, Cc; Song, Xp; Wang, D; Ma, Yj; Ren, Xl; Hu, Hy; Shan, Yp; Ma, Xy; Cui, Jj; Ma, Y",10.1016/j.chemosphere.2022.137235,Chemosphere
Bioplastic Accumulates Antibiotic And Metal Resistance Genes In Coastal Marine Sediments,"The oceans are increasingly polluted with plastic debris, and several studies have implicated plastic as a reservoir for antibiotic resistance genes and a potential vector for antibiotic-resistant bacteria. Bioplastic is widely regarded as an environmentally friendly replacement to conventional petroleum-based plastic, but the effects of bioplastic pollution on marine environments remain largely unknown. Here, we present the first evidence that bioplastic accumulates antibiotic resistance genes (ARGs) and metal resistance genes (MRGs) in marine sediments. Biofilms fouling ceramic, polyethylene terephthalate (PET), and polyhydroxyalkanoate (PHA) were investigated by shotgun metagenomic sequencing. Four ARG groups were more abundant in PHA: trimethoprim resistance (TMP), multidrug resistance (MDR), macrolide-lincosamide-streptogramin resistance (MLS), and polymyxin resistance (PMR). One MRG group was more abundant in PHA: multimetal resistance (MMR). The relative abundance of ARGs and MRGs were strongly correlated based on a Mantel test between the Bray-Curtis dissimilarity matrices (R = 0.97, p < 0.05) and a Pearson's analysis (R = 0.96, p < 0.05). ARGs were detected in more than 40% of the 57 metagenome-assembled genomes (MAGs) while MRGs were detected in more than 90% of the MAGs. Further investigation (e.g., culturing, genome sequencing, antibiotic susceptibility testing) revealed that PHA biofilms were colonized by hemolytic Bacillus cereus group bacteria that were resistant to beta-lactams, vancomycin, and bacitracin. Taken together, our findings indicate that bioplastic, like conventional petroleum-based plastic, is a reservoir for resistance genes and a potential vector for antibiotic-resistant bacteria in coastal marine sediments.","Di Cesare, A; Pinnell, Lj; Brambilla, D; Elli, G; Sabatino, R; Sathicq, Mb; Corno, G; O'Donnell, C; Turner, Jw",10.1016/j.envpol.2021.118161,Environmental Pollution
Effects Of Triclosan Adsorption On Intestinal Toxicity And Resistance Gene Expression In Xenopus Tropicalis With Different Particle Sizes Of Polystyrene,"Microplastics (MPs) are commonly found with hydrophobic contaminants in the water column and pose a serious threat to aquatic organisms. The effects of polystyrene microplastics of different particle sizes on the accumulation of triclosan in the gut of Xenopus tropicalis, its toxic effects, and the transmission of resistance genes were evaluated. The results showed that co-exposure to polystyrene (PS-MPs) adsorbed with triclosan (TCS) caused the accumulation of triclosan in the intestine with the following accumulation capacity: TCS + 5 mu m PS group > TCS group > TCS + 20 mu m PS group > TCS + 0.1 mu m PS group. All experimental groups showed increased intestinal inflammation and antioxidant enzyme activity after 28 days of exposure to PS-MPs and TCS of different particle sizes. The TCS + 20 mu m PS group exhibited the highest upregulated expression of pro-inflammatory factors (IL-10, IL-1 beta). The TCS + 20 mu m group showed the highest increase in enzyme activity compared to the control group. PS-MPs and TCS, either alone or together, altered the composition of the intestinal microbial community. In addition, the presence of more antibiotic resistance genes than triclosan resistance genes significantly increased the expression of tetracycline resistance and sulfonamide resistance genes, which may be associated with the development of intestinal inflammation and oxidative stress. This study refines the aquatic ecotoxicity assessment of TCS adsorbed by MPs and provides informative information for the management and control of microplastics and non-antibiotic bacterial inhibitors. (c) 2024 The Research Center for Eco-Environmental Sciences, Chinese Academy of Sciences. Published by Elsevier B. V.","Dai, Z; Wang, Zk; Pan, Xy; Zheng, L; Xu, Yb; Qiao, Qx",10.1016/j.jes.2023.06.036,Journal Of Environmental Sciences
Contribution Of Microplastic Particles To The Spread Of Resistances And Pathogenic Bacteria In Treated Wastewaters,"Microplastic Particles (MPs) are ubiquitous pollutants widely found in aquatic ecosystems. Although MPs are mostly retained in wastewater treatment plants (WWTPs), a high number of MPs reaches the open waters potentially contributing to the spread of pathogenic bacteria and antibiotic resistance genes in the environment. Nowadays, a limited number of studies have focused on the role of MPs as carriers of potentially pathogenic and antibiotic resistant bacteria in WWTPs. Thus, an investigation on the community composition (by 16S rRNA gene amplicon sequencing) and the abundance of antibiotic and metal resistance genes (by qPCR) of the biofilm on MPs (the plastisphere) and of planktonic bacteria in treated (pre- and post-disinfection) wastewaters was performed. MPs resulted to be very similar in terms of type, color, size, and chemical composition, before and after the disinfection. The bacterial community on MPs differed from the planktonic community in terms of richness, composition, and structure of the community network. Potentially pathogenic bacteria generally showed higher abundances in treated wastewater than in the biofilm on MPs. Furthermore, among the tested resistance genes, only sul2 (a common resistance gene against sulfonamides) resulted to be more abundant in the plastisphere than in the planktonic bacterial community. Our results suggest that the wastewater plastisphere could promote the spread of pathogenic bacteria and resistance genes in aquatic environment although with a relatively lower contribution than the wastewater planktonic bacterial community.","Galafassi, S; Sabatino, R; Sathicq, Mb; Eckert, Em; Fontaneto, D; Dalla Fontana, G; Mossotti, R; Corno, G; Volta, P; Di Cesare, A",10.1016/j.watres.2021.117368,Water Research
Nano- And Microplastics Drive The Dynamic Equilibrium Of Amoeba-Associated Bacteria And Antibiotic Resistance Genes,"As emerging pollutants, microplastics have become pervasive on a global scale, inflicting significant harm upon ecosystems. However, the impact of these microplastics on the symbiotic relationship between protists and bacteria remains poorly understood. In this study, we investigated the mechanisms through which nano- and microplastics of varying sizes and concentrations influence the amoeba-bacterial symbiotic system. The findings reveal that nano- and microplastics exert deleterious effects on the adaptability of the amoeba host, with the magnitude of these effects contingent upon particle size and concentration. Furthermore, nano- and microplastics disrupt the initial equilibrium in the symbiotic relationship between amoeba and bacteria, with nano-plastics demonstrating a reduced ability to colonize symbiotic bacteria within the amoeba host when compared to their microplastic counterparts. Moreover, nano- and microplastics enhance the relative abundance of antibiotic resistance genes and heavy metal resistance genes in the bacteria residing within the amoeba host, which undoubtedly increases the potential transmission risk of both human pathogens and resistance genes within the environment. In sum, the results presented herein provide a novel perspective and theoretical foundation for the study of interactions between microplastics and microbial symbiotic systems, along with the establishment of risk assessment systems for ecological environments and human health.","Zhou, M; Ma, L; Wang, Zh; Li, Sc; Cai, Yj; Li, Mc; Zhang, L; Wang, C; Wu, B; Yan, Qy; He, Zl; Shu, Lf",10.1016/j.jhazmat.2024.134958,Journal Of Hazardous Materials
Potential Environmental Risks Of Field Bio/Non-Degradable Microplastic From Mulching Residues In Farmland: Evidence From Metagenomic Analysis Of Plastisphere,"The plastisphere may act as reservoir of antibiotic resistome, accelerating global antimicrobial resistance dissemination. However, the environmental risks in the plastisphere of field microplastics (MPs) in farmland remain largely unknown. Here, antibiotic resistance genes (ARGs) and virulence factors (VFs) on polyethylene microplastics (PE-MPs) and polybutylene adipate terephthalate and polylactic acid microplastics (PBAT/PLAMPs) from residues were investigated using metagenomic analysis. The results suggested that the profiles of ARG and VF in the plastisphere of PBAT/PLA-MPs had greater number of detected genes with statistically higher values of diversity and abundance than soil and PE-MP. Procrustes analysis indicated a good fitting correlation between ARG/VF profiles and bacterial community composition. Actinobacteria was the major host for tetracycline and glycopeptide resistance genes in the soil and PE-MP plastisphere, whereas the primary host for multidrug resistance genes changed to Proteobacteria in PBAT/PLA-MP plastisphere. Besides, three human pathogens, Sphingomonas paucimobilis, Lactobacillus plantarum and Pseudomonas aeruginosa were identified in the plastisphere. The PE -MP plastisphere exhibited a higher transfer potential of ARGs than PBAT/PLA-MP plastisphere. This work enhances our knowledge of potential environmental risks posed by microplastic in farmland and provides valuable insights for risk assessment and management of agricultural mulching applications.","Li, K; Xu, Lb; Bai, Xy; Zhang, Gb; Zhang, Mj; Huang, Y",10.1016/j.jhazmat.2024.133428,Journal Of Hazardous Materials
Isolation And Identification Of Aerobic Bacteria Carrying Tetracycline And Sulfonamide Resistance Genes Obtained From A Meat Processing Plant,"Microbial contamination in food-processing plants can play a fundamental role in food quality and safety. The purpose of this study was to investigate aerobic bacteria carrying tetracycline and sulfonamide resistance genes from a meat processing plant as possible sources of meat contamination. One hundred swab samples from surfaces of conveyor belts, meat slicers, meat knives, benches, plastic trays, gloves, and aprons were analyzed. A total of 168 isolates belonging to 10 genera were obtained, including Pseudomonas sp. (n = 35), Acinetobacter sp. (n = 30), Aeromonas sp. (n = 20), Myroides sp. (n = 15), Serratia sp. (n = 15), Staphylococcus sp. (n = 14), Enterobacter sp. (n = 11), Escherichia coli (n = 10), Lactococcus sp. (n = 10), and Klebsiella sp. (n = 8). Of the 168 isolates investigated, 60.7% showed resistance to tetracycline and 57.7% to trimethoprim/sulfamethoxazole. The tetracycline resistance genes tetL, tetA, tetB, tetC, tetE, tetM, tetS, tetK, and tetX were found in the frequency of 7.7%, 6.0%, 4.8%, 4.8%, 3.6%, 3.6%, 3.6%, 1.2%, and 0.6%, respectively. Sulfonamide resistance genes sul1 and sul2 were observed in the frequency of 17.9% and 38.1%, respectively. The tetracycline resistance genes tetX was first found in Myroides sp. This investigation demonstrated that food contact surfaces in a meat processing plant may be sources of contamination of aerobic bacteria carrying tetracycline and sulfonamide antibiotic resistance genes.","Li, Ll; Ye, L; Zhang, S; Meng, Hc",10.1111/1750-3841.13318,Journal Of Food Science
Distinct Bacterial Communities And Resistance Genes Enriched By Triclocarban-Contaminated Polyethylene Microplastics In Antibiotics And Heavy Metals Polluted Sewage Environment,"Knowledge gaps still surround the question of what biofilms form on contaminated microplastics (MPs) in the antibiotics and (or) heavy metals polluted sewage. In this work, the clean polyethylene microplastics (PE MPs) and triclocarban (TCC)-contaminated PE MPs were cultured in the sewage containing only ampicillin (AMP), only copper (Cu) and both AMP and Cu for 28 days. The results showed that the TCC on PE MPs (with concentration of 2.48 mg/g PE MPs) did not impede the adhesion of the bacteria and the formation of biofilm. Moreover, many potential pathogenic bacteria (Aquabacterium and Pseudoxanthomonas) and potential resistant bacteria (Stenotrophomonas) were more likely to attach on TCC-contaminated PE MPs compared with clean PE MPs. In addition, biofilms of TCCcontaminated PE MPs had highest potential pathogenic functions. TCC-contaminated PE MPs also caused the increases of various resistance genes in both biofilm and sewage. The co-occurrence of TCC, AMP and Cu might exert a stronger selective pressure on bacterial communities and promote the co-selection of resistance genes. In addition, TCCcontaminated PE MPs resulted in higher abundance of five mobile genetic elements (MGEs) (intI1, intI3, tnpA-04, IS613 and trb-C) in sewage, which might further promote the transmission of resistance genes.","Zhao, Yf; Gao, Jf; Wang, Zq; Cui, Yc; Zhang, Y; Dai, Hh; Li, Dc",10.1016/j.scitotenv.2022.156330,Science Of The Total Environment
Can Microplastics And Disinfectant Resistance Genes Pose Conceivable Threats To Water Disinfection Process?,"Microplastic pollution in the environment has aroused widespread concerns, however, the potential environmental risks caused by excessive use of disinfectants are still unknown. Disinfectants with doses below the threshold can enhance the communication of resistance genes in pathogenic microorganisms, promoting the development and spread of antimicrobial activity. Problematically, the intensification of microplastic pollution and the increase of disinfectant consumption will become a key driving force for the growth of disinfectant resistance bacteria (DRB) and disinfectant resistance genes (DRGs) in the environment. Disinfection plays a crucial role in ensuring water safety, however, the presence of microplastics and DRGs seriously disturb the water disinfection process. Microplastics can reduce the concentration of disinfectant in the local environment around microorganisms and improve their tolerance. Microorganisms can improve their resistance to disinfectants or generate resistance genes via phenotypic adaptation, gene mutations, and horizontal gene transfer. However, very limited information is available on the impact of DRB and DRGs on disinfection process. In this paper, the contribution of microplastics to the migration and transmission of DRGs was analyzed. The challenges posed by the presence of microplastics and DRGs on conventional disinfection were thoroughly discussed. The knowledge gaps faced by relevant current research and further research priorities have been proposed in order to provide a scientific basis in the future.","Shen, Mc; Zhao, Yf; Liu, Sw; Tao, Sy; Li, Th; Long, Hm",10.1016/j.scitotenv.2023.167192,Science Of The Total Environment
