Title,Abstract,Authors,DOI,Journal
[Effect Of Polyvinyl Alcohol/Graphene Oxide Aerogel On The Biological Characteristics Of Acute Leukemia Cell Lines],"To investigate the effects of polyvinyl alcohol (PVA) + graphene oxide (GO, weight content 1 wt%) aerogel three-dimensional (3D) scaffolds culture system on the proliferation, phenotype and drug resistance of ALL cell line Jurkat and AML cell line HL-60.","Hao Sun, Zhi-Yu Shang, Tian-Lan Li, Ru-Yong Yao, Bo-Li Cui, Xiao-Dan Liu, Hai-Rong Fei, Shan-Shan Liu, Xiang-Cong Yin, Shao-Ling Wu, Yun-Ze Long, Chun-Ting Zhao",10.19746/j.cnki.issn.1009-2137.2020.02.042,Zhongguo Shi Yan Xue Ye Xue Za Zhi
[Enrichment Characteristics And Ecological Risk Prediction Of Pathogens On Typical Microplastic Biofilms],"As an emerging niche colonized by microorganisms, microplastics may selectively enrich pathogens, resulting in crucial ecological risks and potential threats to public health in aquatic environments. However, the enrichment characteristics and ecological risks of pathogens on different microplastic biofilms remain unclear. In this study, 16S rRNA high-throughput sequencing technology was used to investigate the differences in the bacterial community structure, occurrence characteristics of pathogens, and prediction of ecological risks on five typical microplastic biofilms of polyethylene （PE）, polypropylene （PP）, polystyrene （PS）, polyethylene terephthalate （PET）, and polyvinyl chloride （PVC） through a field in-situ incubation experiment. The results showed that after 28 d of in situ incubation, the macroscopic biofilms were formed on the surface of all microplastics, and the diversity and richness of the bacterial community on all microplastic biofilms were higher than in the surrounding water, indicating that the microorganisms in the surrounding water were selectively enriched on microplastics. Each type of microplastic biofilm had formed a unique bacterial community structure； in particular, PVC microplastics were more inclined to selectively enrich the members of Proteobacteria. A total of 47 human pathogens were identified using the HPB database, including six antibiotic resistance pathogens belonging to the lists of critical priority control. The number and total abundance of human pathogens detected on microplastic biofilm were higher than those in the surrounding water, and the dominant pathogens such as Bartonella, Burkholderia, and Brucella were selectively enriched on microplastic biofilms. Microbial phenotype prediction results based on BugBase showed that three functional phenotypes including biofilm formation, mobile element contained, and potentially pathogenic on microplastic biofilms had significantly increased by 2.38%-5.57%, 0.82%-7.13%, and 3.04%-8.30%, respectively, which were mainly contributed by α-Proteobacteria and γ-Proteobacteria. These results not only indicate that the selective enrichment of opportunistic pathogens on microplastic biofilms may lead to the increased risk of pathogenicity and antibiotic resistance co-spread but also provide reference for the accurate assessment of ecological risks caused by microplastic pollution in aquatic environments.","Fan Wang, Zhi-Xun Hu, Wan-Jun Wang, Yong-Yin Xiao, Wei-Cong Mai, Gui-Ying Li, Tai-Cheng An",10.13227/j.hjkx.202311126,Huan Jing Ke Xue= Huanjing Kexue
[Distribution Characteristics Of Antibiotic Resistance Genes On Different Water Supply Pipes],"To study the distribution characteristics and horizontal transfer potential of antibiotic resistance genes in biofilms of water supply pipes made of different materials, the biofilms of 304 and 316 L stainless steel pipes and PPR and PE plastic pipes were analyzed using metagenomic sequencing. The results showed that a total of 146 antibiotic resistance genes belonging to 17 classes were detected in the biofilms. Multidrug resistance genes had the highest abundance and varied a lot in different biofilms, which was the main reason for the differences in antibiotic resistance genes in different biofilms. The total abundance of mobile genetic elements was high in different biofilms, but overall coexistence with antibiotic resistance genes was low, with integrase genes showing a closer relationship with antibiotic resistance genes and possibly playing an important role in the horizontal transfer of antibiotic resistance genes. Different antibiotic resistance genes possessed different genera of potential hosts; highly abundant hosts such as Aquabacterium and Bradyrhizobium were the basis for the presence of a high abundance of multidrug resistance genes. Microbial attachment in different pipe walls was selective, and the primary influence of antibiotic resistance in biofilms was bacterial community composition, followed by the horizontal transfer of genes mediated by mobile genetic elements, community composition, and mobile genetic elements together shaping the distribution characteristics of antibiotic resistance genes.","Chen-Xu Liu, Xiao-Hui Bai",10.13227/j.hjkx.202204208,Huan Jing Ke Xue= Huanjing Kexue
[Applications Of Biofilm In Environmental Pollution Control And The Related Challenges],"Biofilm has been used in environmental pollution control in recent years due to its characteristics of adsorption and biodegradation. Beyond the success of its utilization in wastewater treatment, biofilm technique has high application value in the remediation of heavy metals and organic pollutants in soils. With the extensive attention and research of emerging pollutants such as microplastics and antibiotic resistance genes (ARGs), the pivotal role of biofilm can not be overlooked. Here, we presented a comprehensive review of the structure, formation mecha-nism, population, and functional aspects of biofilm, as well as its applications and mechanisms in environmental pollution control in recent years. We emphatically discussed the removal mechanism and application progress of biofilm on heavy metals and organic pollutants. We further expounded some novel environmental challenges posed by biofilm under new circumstances, including the coexistence of various pollutants in plastisphere, the spread of ARGs, and the accumulation of pathogens. Finally, we put forward the gaps of current research and prospects for future research, especially the importance of exploring the interaction relationship and mechanism between biofilm and various pollutants. It is expected to provide theoretical basis for the development of new technology of biofilm remediation.","Dong-Sheng Shen, Xiao-Jing Xing, Yu-Yang Long, Cai Hui",10.13287/j.1001-9332.202405.028,Ying Yong Sheng Tai Xue Bao = The Journal Of Applied Ecology
"Antibiotic Use By Dentists In Germany: A Review Of Prescriptions, Pathogens, Antimicrobial Resistance And Antibiotic Stewardship Strategies","In Germany, 85% of all antibiotics are prescribed in the outpatient care sector, and dentists account for 11% of the total outpatient antibiotic prescriptions.","K Tolksdorf, A Freytag, J Bleidorn, R Markwart",10.1922/CDH_00172Konrad07,Community Dental Health
"Effects Of Supplementation With A Combination Of Β-Hydroxy-Β-Methyl Butyrate, L-Arginine, And L-Glutamine On Postoperative Recovery Of Quadriceps Muscle Strength After Total Knee Arthroplasty","Total knee arthroplasty (TKA) performed in knee osteoarthritis patients is reported to be immediately followed by a decrease in quadriceps muscle strength. We investigated the effects of supplementation with a combination β-hydroxy-β-methyl butyrate, L-arginine, and L-glutamine (HMB/Arg/Gln) on the postoperative recovery of quadriceps muscle strength in patients after TKA.","Kanae Nishizaki, Hitoshi Ikegami, Yukio Tanaka, Ryutaro Imai, Hajime Matsumura",10.6133/apjcn.2015.24.3.01,Asia Pacific Journal Of Clinical Nutrition
"Intratumor Heterogeneity, Variability And Plasticity: Questioning The Current Concepts In Classification And Treatment Of Hepatocellular Carcinoma","In the classical view, the formation of a primary tumor is the consequence of a mutational event that first affects a single cell that subsequently passes through a multitude of consecutive hyperplastic and dysplastic stages. At the end of this pathogenetic sequence a cell arises that is potentially able to expanse infinitely having capacity to form a homogenous tumor mass. In contrary to this clonal expansion concept, the majority of primary human tumors display already a startling heterogeneity that can be reflected in different morphological features, physiological activities, and genetic diversity. In the past it was speculated that this cancer cell plasticity within a tumor is the result of an adaptive process that is induced by specific inhibiting therapies. In regard to the formation of hepatocellular carcinoma (HCC) this dogma was once challenged in a recent study that analysed tumor areas that were taken from HCC patients without medical pretreatment. Most of the analyzed samples showed highly significant intratumor heterogeneity. This affected morphological attributes, immunohistochemical stainability of five tumor-associated markers [α-fetoprotein (AFP), EpCAM, CK7, CD44 and glutamine synthetase], and integrity of genes (β-catenin and p53) that are critically involved in the pathogenesis of HCC. Altogether, this study showed that intratumor heterogeneity is a frequent finding in HCC that may contribute to treatment failure and drug resistance in HCC patients.",Ralf Weiskirchen,10.3978/j.issn.2304-3881.2016.02.04,Hepatobiliary Surgery And Nutrition
The Impact Of A Multidisciplinary Approach Protocol And Integrated Guidelines For Antibiotic Prophylaxis In Plastic Surgery Procedures,"Surgical antibiotic prophylaxis has been widely used for prevention of surgical site infections (SSI's). World Health Organization (WHO) global guidelines strongly recommend the administration of pre-operative prophylactic antibiotic, depending on the type of surgery, to reduce SSI's. However, within Gulf Cooperation Council (GCC) countries, antibiotic resistance has been rising due to unregulated prescribing practice. We aimed to assess adherence to local/international guidelines in the plastic surgery unit of Salmaniya Medical Complex.","Isa Alalwani, Hasan Altahoo, Fatima Yaqoob, Fatema Ahmed Ali, Sadeq Alekri",10.29252/wjps.10.3.54,World Journal Of Plastic Surgery
Biology Of Vibrio Cholera. Editorial Overview,"In this monographic issue, we have the pleasure to present contributions from six of the leading laboratories at the forefront of Vibrio cholerae genetics, ecology and evolution, together with a brief tribute by Diego Romero to Doctor Jaime Ferrán y Clua, a pioneering Spanish bacteriologist who developed the first vaccine against this pathogen. V. cholerae is a free-living aquatic bacterium that interacts with and infects a variety of organisms. In humans it causes cholera, the deadly diarrhoea that was responsible for millions of deaths during seven pandemics since 1817, and still thousands every year. The Boucher lab presents a study of the ecology, evolution and dispersal of pandemic V. cholerae biotypes in relation to environmental reservoirs. They show how both species-specific and lineage-specific genetic determinants play a role in the ability of V. cholerae strains to cause pandemics, having evolved gradually over centuries. One of the key aspects that makes a particularly successful pathogen is its genomic plasticity. The V. cholerae genome contains a superintegron (SI) that is involved in development and dissemination of antibiotic resistance genes among diverse bacterial species, permitting population expansion in challenging conditions. Escudero and Mazel review the SI as a true hotspot of V. cholerae's genomic diversity and low-cost memory of adaptive functions in its complex lifestyle and ecology. Another remarkable aspect of V. cholerae 's genetics is the presence of two chromosomes. Segregation and division in multi-chromosomal becteria is relatively complex, and V. cholerae remains the paradigm. Espinosa and colleagues review the cell cycle of V. cholerae , comparing and contrasting with that of E. coli . In addition to genome plasticity, V. cholerae uses a variety of attack/defence strategies to compete and thrive in different niches, through interaction with bacteriophages, bacteria and eukaryotes. The role of phages in the life cycle of V. cholerae has been increasingly recognized and investigated over the past decade. Andrew Camilli and colleagues take us through the exciting evolutionary arms race between V. cholerae and virulent bacteriophages, based both on mechanisms of phage resistance in the bacterium and a unique phage-encoded CRISPR-Cas system used to counteract this resistance. Finally, the authors discuss the impact of these predator-prey dynamics in the context of infection, and their use as a strategy to limit cholera transmission within a community. In regards to its ability to coexist with other microbes, V. cholerae can produce effectors that are either released to the extracellular media, or delivered via intimate cell-to-cell contact such as those injected via the type VI secretion system (T6SS). The Pukatzki lab reviews the versatility of the T6SS to produce different combinations of such effectors, which establishes the strains of V. cholerae that can co-exist in the environment. After killing a cell, its DNA is released and incorporated by natural competence into other living cells, thereby being a potential source of diversification for V. cholerae's T6SS effectors. Finally, I revisisit the discovery of non-canonical D-amino acids, recently identified effectors secreted by V. cholerae which have increasingly been shown to be important in enhancing the ability of the bacterium to colonize and persist in a particular niche. I focus on recent observations that suggest different D-amino acids influence distinct cellular processes in bacteria, and dis cuss their role in modulating environmental bacterial biodiversity.",Felipe Cava,10.2436/20.1501.01.290,International Microbiology : The Official Journal Of The Spanish Society For Microbiology
[Identification Of Hypoxia-Specific Therapeutic Targets In Multiple Myeloma],"The bone marrow microenvironment is low in oxygen, promoting a hypoxic response which causes myeloma cells to acquire stem cell properties and enhanced therapy resistance. We performed comprehensive gene and microRNA expression analyses of samples from myeloma patients and cell lines cultured under hypoxia. Through this, we identified the histone demethylase KDM3A, the glycolytic enzyme HK2, and microRNA-210 as factors playing important roles in the behavior of cells under hypoxic conditions. These genes were regulated by the hypoxia-inducible factor HIF. However, we also found that the expression of IRF4 and MYC, factors required for maintenance of differentiation and proliferation was suppressed by hypoxia. This suggests that the regulatory factors that induce drug resistance and the anti-apoptotic capacity of myeloma cells fluctuate with the partial pressure of oxygen in their environment. Based on this premise, a dual treatment strategy in which a dominant clone and a dormant clone adapted to the hypoxic microenvironment are treated simultaneously with orthogonal drugs is a potentially viable strategy to achieve a cure for multiple myeloma.",Sho Ikeda,10.11406/rinketsu.62.305,[Rinsho Ketsueki] The Japanese Journal Of Clinical Hematology
Protective Effects Of The Salt-Induced Kinase Inhibitor Hg-9-91-01 On Sepsis-Associated Cognitive Dysfunction In Mice And The Underlying Mechanisms,"Sepsis-associated cognitive dysfunction is a common complication in patients with sepsis and lack of effective treatment. Its pathological mechanisms remain unclear. Salt-induced kinase (SIK) is an important molecule in the regulation of metabolism, immunity, and inflammatory response. It is associated with the development of many neurological diseases. This study aims to investigate the expression of SIK in the hippocampus of septic mice, and to evaluate the role and mechanism of the SIK inhibitor HG-9-91-01 in sepsis-associated cognitive dysfunction.","Xueqin Wang, Shuang Wang, Yanhui Cui",10.11817/j.issn.1672-7347.2023.230208,Zhong Nan Da Xue Xue Bao. Yi Xue Ban = Journal Of Central South University. Medical Sciences
[Effect Of Decellularized Adipose Tissue Combined With Vacuum Sealing Drainage On Wound Inflammation In Pigs],To preliminary explore the effect of decellularized adipose tissue (DAT) combined with vacuum sealing drainage (VSD) on wound inflammation in pigs.,"Yiming Wang, Wenxin Wei, Yan Han",10.7507/1002-1892.201904010,Zhongguo Xiu Fu Chong Jian Wai Ke Za Zhi = Zhongguo Xiufu Chongjian Waike Zazhi = Chinese Journal Of Reparative And Reconstructive Surgery
Clusterin: A Double-Edged Sword In Cancer And Neurological Disorders,"Clusterin is a ubiquitously expressed glycoprotein that is involved in a whole range of biological processes. This protein is known to promote tumor survival and resistance to therapy in cancer, which contrasts sharply with its neuroprotective functions in various neurological diseases. This duality has led to recent investigations into the potential therapeutic applications of clusterin inhibition, particularly in cancer treatment. Inhibition of clusterin has been shown to be able to induce cancer cell senescence, suppress their growth and increase their sensitivity to therapy. The involvement of clusterin in the aging process makes its biological effects even more complex and offers a broad perspective for research and therapeutic exploration of various pathological conditions. This review critically examines the multiple functions of clusterin in cancer and neurological disorders and addresses the controversies surrounding its role in these areas. The assessment includes an in-depth analysis of the existing literature and examining the relationship of clusterin to fundamental aspects of cancer progression, including cell proliferation, apoptosis, metastasis, and drug resistance. In addition, the review addresses the neurobiological implications of clusterin and examines its controversial role in neuroprotection, neurodegeneration, and synaptic plasticity. Attention is also paid to the epigenetic regulation of clusterin expression. By clarifying conflicting findings and discrepancies in the literature, this review aims to provide a nuanced understanding of the molecular mechanisms underlying clusterin functions and its potential clinical implications in both cancer and neurodisorders. See also the graphical abstract(Fig. 1).","Pinky Sultana, Jiri Novotny",10.17179/excli2024-7369,Excli Journal
[Bispecific Antibodies In Clinical Tumor Therapy],"Bispeciﬁc antibody (BsAb) has two different antigen-binding sites, divided into the ""IgG-like"" format and the ""non-IgG-like"" format. Different formats have different characteristics and applications. BsAb has higher sensitivity and specificity than conventional antibodies, with special functions such as recruitment of immune cells and blocking of dual signaling pathways, playing an important role in immune-diagnosis and therapy. With the deterioration of the global environment and the irregular living habits of people, the incidence of tumor is becoming higher and higher. Tumor becomes the most serious fatal disease threatening human health after cardiovascular disease. There are 12 million estimated new tumor cases each year worldwide. The major clinical treatments of tumor are surgical resection, chemoradiotherapy, target therapy. Tumor immunotherapy is a novel approach for tumor treatment in recent years, and activates human immune system to control and kill tumor cells. Although the traditional monoclonal antibodies have already acquired some therapeutic effects in tumor targeted therapy and immunotherapy, they induce drug resistance resulted from the heterogeneity and plasticity of tumors. Binding to two target antigens at the same time, BsAb has been used in the clinical treatment of tumors and obtained promising outcomes. This review elaborates the research progress and applications of bispecific antibody in clinical tumor therapy.","Luyao Wang, Zhenhua Wei, Weijia Xiong, Suhang Bai, Changyuan Yu, Zhao Yang",10.13345/j.cjb.200327,Sheng Wu Gong Cheng Xue Bao = Chinese Journal Of Biotechnology
